location,date,species,vial,count,method,fruit,season
FSP,10/2/22,Zaprionus indianus,6,28,net,hog plum,lat
FSP,10/2/22,other,6,38,net,hog plum,lat
FSP,10/2/22,Zaprionus indianus,7,64,net,hog plum,lat
FSP,10/2/22,other,7,115,net,hog plum,lat
FSP,10/2/22,Zaprionus indianus,8,49,net,sunsapote,lat
FSP,10/2/22,other,8,53,net,sunsapote,lat
FSP,10/2/22,Zaprionus indianus,9,5,net,avocado,lat
FSP,10/2/22,other,9,193,net,avocado,lat
FSP,10/2/22,Zaprionus indianus,10,3,net,avocado,lat
FSP,10/2/22,other,10,178,net,avocado,lat
FSP,10/2/22,Zaprionus indianus,11,62,net,marula,lat
FSP,10/2/22,other,11,57,net,marula,lat
FSP,10/2/22,Zaprionus indianus,12,56,net,marula,lat
FSP,10/2/22,other,12,43,net,marula,lat
FSP,10/2/22,Zaprionus indianus,13,52,net,starfruit,lat
FSP,10/2/22,other,13,88,net,starfruit,lat
FSP,10/2/22,Zaprionus indianus,14,63,net,starfruit,lat
FSP,10/2/22,other,14,178,net,starfruit,lat
FSP,10/2/22,Zaprionus indianus,15,83,net,starfruit,lat
FSP,10/2/22,other,15,211,net,starfruit,lat
HPO,10/6/22,Zaprionus indianus,1,12,asp,apples,lat
HPO,10/6/22,other,1,5,asp,apples,lat
HPO,10/6/22,Zaprionus indianus,2,13,net,apples,lat
HPO,10/6/22,other,2,10,net,apples,lat
HPO,10/6/22,Zaprionus indianus,3,8,net,apples,lat
HPO,10/6/22,other,3,7,net,apples,lat
HPO,10/6/22,Zaprionus indianus,4,6,net,apples,lat
HPO,10/6/22,other,4,3,net,apples,lat
HPO,10/6/22,Zaprionus indianus,5,16,net,apples,lat
HPO,10/6/22,other,5,7,net,apples,lat
HPO,10/6/22,Zaprionus indianus,6,7,net,apples,lat
HPO,10/6/22,other,6,5,net,apples,lat
HPO,10/6/22,Zaprionus indianus,7,6,net,apples,lat
HPO,10/6/22,other,7,8,net,apples,lat
HPO,10/6/22,Zaprionus indianus,8,9,net,apples,lat
HPO,10/6/22,other,8,2,net,apples,lat
HPO,10/6/22,Zaprionus indianus,9,21,asp,apples,lat
HPO,10/6/22,other,9,9,asp,apples,lat
HPO,10/6/22,Zaprionus indianus,10,15,asp,apples,lat
HPO,10/6/22,other,10,7,asp,apples,lat
Hansel,10/8/22,Zaprionus indianus,1,0,net,apples,lat
Hansel,10/8/22,other,1,13,net,apples,lat
RR,10/8/22,Zaprionus indianus,1,0,net,apples,lat
RR,10/8/22,other,1,6,net,apples,lat
RR,10/8/22,Zaprionus indianus,2,0,net,apples,lat
RR,10/8/22,other,2,14,net,apples,lat
Carver Hill,10/12/22,Zaprionus indianus,1,1,net,apples,lat
Carver Hill,10/12/22,other,1,43,net,apples,lat
Carver Hill,10/12/22,Zaprionus indianus,2,0,net,apples,lat
Carver Hill,10/12/22,other,2,6,net,apples,lat
Carver Hill,10/12/22,Zaprionus indianus,3,0,net/asp,apples,lat
Carver Hill,10/12/22,other,3,16,net/asp,apples,lat
Carver Hill,10/12/22,Zaprionus indianus,4,3,net,apples,lat
Carver Hill,10/12/22,other,4,35,net,apples,lat
Carver Hill,10/12/22,Zaprionus indianus,5,0,net,apples,lat
Carver Hill,10/12/22,other,5,49,net,apples,lat
Carver Hill,10/12/22,Zaprionus indianus,6,4,net,peaches,lat
Carver Hill,10/12/22,other,6,33,net,peaches,lat
HPH,10/12/22,Zaprionus indianus,1,1,net,pears,lat
HPH,10/12/22,other,1,10,net,pears,lat
HPH,10/12/22,Zaprionus indianus,2,0,net,apples,lat
HPH,10/12/22,other,2,4,net,apples,lat
HPH,10/12/22,Zaprionus indianus,3,0,net,apples,lat
HPH,10/12/22,other,3,47,net,apples,lat
HPH,10/12/22,Zaprionus indianus,4,0,net,apples,lat
HPH,10/12/22,other,4,23,net,apples,lat
HPH,10/12/22,Zaprionus indianus,5,0,net,pears,lat
HPH,10/12/22,other,5,12,net,pears,lat
HPH,10/12/22,Zaprionus indianus,6,2,net,apples,lat
HPH,10/12/22,other,6,59,net,apples,lat
HPH,10/12/22,Zaprionus indianus,7,0,net,pears,lat
HPH,10/12/22,other,7,34,net,pears,lat
HPH,10/12/22,Zaprionus indianus,8,1,net,apples,lat
HPH,10/12/22,other,8,78,net,apples,lat
HPH,10/12/22,Zaprionus indianus,9,0,net,apples,lat
HPH,10/12/22,other,9,13,net,apples,lat
HPH,10/12/22,Zaprionus indianus,10,1,net,apples,lat
HPH,10/12/22,other,10,18,net,apples,lat
HPH,10/12/22,Zaprionus indianus,11,0,net,apples,lat
HPH,10/12/22,other,11,55,net,apples,lat
HPH,10/12/22,Zaprionus indianus,12,0,net,apples,lat
HPH,10/12/22,other,12,36,net,apples,lat
HPH,10/12/22,Zaprionus indianus,13,1,net,apples,lat
HPH,10/12/22,other,13,12,net,apples,lat
HPH,10/12/22,Zaprionus indianus,14,1,net,apples,lat
HPH,10/12/22,other,14,26,net,apples,lat
Westward,10/12/22,Zaprionus indianus,1,1,net,compost,lat
Westward,10/12/22,other,1,85,net,compost,lat
Westward,10/12/22,Zaprionus indianus,2,0,net,compost,lat
Westward,10/12/22,other,2,181,net,compost,lat
Westward,10/12/22,Zaprionus indianus,3,0,net,compost,lat
Westward,10/12/22,other,3,127,net,compost,lat
Westward,10/12/22,Zaprionus indianus,4,1,net,compost,lat
Westward,10/12/22,other,4,95,net,compost,lat
Lyman,10/13/22,Zaprionus indianus,1,14,asp,apples,lat
Lyman,10/13/22,other,1,5,asp,apples,lat
Lyman,10/13/22,Zaprionus indianus,2,10,net,apples,lat
Lyman,10/13/22,other,2,6,net,apples,lat
Lyman,10/13/22,Zaprionus indianus,3,19,net,apples,lat
Lyman,10/13/22,other,3,6,net,apples,lat
Lyman,10/13/22,Zaprionus indianus,4,69,asp,apples,lat
Lyman,10/13/22,other,4,48,asp,apples,lat
Lyman,10/13/22,Zaprionus indianus,5,26,asp,apples,lat
Lyman,10/13/22,other,5,7,asp,apples,lat
Lyman,10/13/22,Zaprionus indianus,6,71,asp,apples,lat
Lyman,10/13/22,other,6,33,asp,apples,lat
Lyman,10/13/22,Zaprionus indianus,7,91,asp,apples,lat
Lyman,10/13/22,other,7,41,asp,apples,lat
Linvilla,10/14/22,Zaprionus indianus,1,5,asp,apples,lat
